,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
99, Maruti Swift Dzire VXI . BS IV,456699,4.3,hyderabad,93657,2015,First ,Petrol,MANUAL,RTOTS09,1/11/2021,ZeroDepreciation,May
100, Hyundai i SPORTZ .,200199,4.1,hyderabad,155505,2009,First ,Petrol,MANUAL,RTOAP29,5/11/2021,Comprehensive,October
101, Volkswagen Polo HIGHLINE.L DIESEL,289399,4.4,hyderabad,114877,2014,First ,Diesel,MANUAL,RTODL10,27/6/2021,Comprehensive,January
102, Hyundai Creta . SX CRDI,984999,4.5,hyderabad,76226,2016,First ,Diesel,,RTOTS09,13/6/2021,ZeroDepreciation,May
103, Honda Amaze . SMT I DTEC,401699,4,hyderabad,85851,2013,Third ,Diesel,MANUAL,RTOAP29,9/6/2021,Third_party,April
104, Maruti Swift VDI ABS,451799,4.3,hyderabad,119742,2015,Second ,Diesel,MANUAL,RTOTS08,29/3/2021,Third_party,February
105, Maruti Baleno ALPHA . K ,666999,4.5,hyderabad,26704,2017,First ,Petrol,MANUAL,RTOTS07,21/11/2021,ZeroDepreciation,November
106, Hyundai Creta . CRDI SX PLUS AUTO,1188855,4,hyderabad,108963,2016,First ,Diesel,AUTOMATIC,RTOTS08,19/9/2021,Comprehensive,August
107, Honda City VX CVT PETROL,639030,4.3,hyderabad,137243,2016,First ,Petrol,AUTOMATIC,RTOTS07,,Expired,September
108, Maruti Swift VDI,374299,4,hyderabad,146225,2012,First ,Diesel,MANUAL,RTOAP28,26/2/2021,Comprehensive,February
109, Maruti Wagon R . LXI CNG,316000,4.2,hyderabad,66711,2012,Second ,Petrol + CNG,MANUAL,RTOAP09,9/9/2020,Third_party,July
110, Maruti Celerio VXI AMT,420000,4.3,hyderabad,16695,2015,First ,Petrol,AUTOMATIC,RTOTS09,13/10/2020,ZeroDepreciation,June
111, Tata Nano LX,50000,3.7,hyderabad,34609,2012,First ,Petrol,MANUAL,RTOTN51,23/10/2021,Comprehensive,May
112, Maruti  AC,70000,3.5,hyderabad,40267,2006,Second ,Petrol,MANUAL,RTOAP29,,Expired,September
113, Mahindra Bolero SLX,136000,3.3,hyderabad,42510,2006,Second ,Diesel,MANUAL,RTOAP16,,Expired,February
114, Maruti Alto LXI,170000,4.2,hyderabad,18984,2009,First ,Petrol,MANUAL,RTOAP11,19/11/2021,Third_party,October
115, Maruti Swift VXI .,155000,3.4,hyderabad,1,2005,Second ,Petrol + LPG,MANUAL,RTOAP11,,Expired,November
116, Maruti Eeco  STR WITH AC PLUSHTR,436000,4.9,hyderabad,2716,2020,First ,Petrol,MANUAL,RTOTS13,,Expired,February
117, Maruti Swift VXI,220000,3.5,hyderabad,48256,2006,Second ,Petrol,MANUAL,RTOAP09,9/8/2021,Third_party,April
118, Maruti Alto LXI,70000,3.2,hyderabad,76810,2005,First ,Petrol,MANUAL,RTOAP13,,Expired,May
119, Tata Nano TWIST XTA,175000,4.3,hyderabad,17870,2015,First ,Petrol,AUTOMATIC,RTOTS07,8/9/2021,Comprehensive,July
120, Maruti Wagon R LXI,110000,3.3,hyderabad,64366,2004,Second ,Petrol,MANUAL,RTOAP29,,Expired,September
121, Hyundai i SPORTZ . VTVT,380000,4.2,hyderabad,29669,2013,Second ,Petrol,MANUAL,RTOAP12,,Expired,August
122, Maruti Celerio ZXI ,360000,4.5,hyderabad,20953,2014,First ,Petrol,MANUAL,RTOTS08,6/8/2021,Comprehensive,July
123, Hyundai i MAGNA . LPG,291000,4.2,hyderabad,42957,2012,Second ,Petrol + LPG,MANUAL,RTOAP07,28/9/2021,Comprehensive,July
124, Maruti Swift ZXI,351000,4.2,hyderabad,56966,2012,First ,Petrol,MANUAL,RTOMH04,21/12/2020,Comprehensive,November
125, Toyota Qualis FS B,120000,3.1,hyderabad,76520,2004,Second ,Diesel,MANUAL,RTOAP12,,Expired,December
126, Honda City V MT PETROL,350000,4.2,hyderabad,48267,2010,First ,Petrol,MANUAL,RTOAP09,15/11/2021,Third_party,September
127, Hyundai Santro Xing GLS LPG,190000,4.1,hyderabad,42913,2009,First ,Petrol + LPG,MANUAL,RTOAP28,17/11/2021,Third_party,February
128, Maruti Alto K LXI CNG,320000,4.8,hyderabad,9783,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,February
129, Hyundai Accent EXECUTIVE,200000,3.7,hyderabad,64822,2010,Second ,Petrol,MANUAL,RTOAP29,30/11/2020,Expired,September
130, Honda Civic .S MT,201000,3.5,hyderabad,56403,2006,Third ,Petrol,MANUAL,RTOAP10,,Expired,August
131, Datsun Redi Go T (O),190000,4.5,hyderabad,30604,2016,First ,Petrol,MANUAL,RTOTS07,12/10/2021,ZeroDepreciation,August
132, Maruti Wagon R . VXI,300000,3.6,hyderabad,33967,2013,First ,Petrol,MANUAL,RTOAP29,7/2/2021,Comprehensive,January
133, Hyundai Santro Xing XL ERLX EURO III,145000,4,hyderabad,44515,2007,First ,Petrol,MANUAL,RTOAP09,11/8/2021,Comprehensive,April
134, Maruti Alto LXI,165000,4,hyderabad,44975,2011,Second ,Petrol,MANUAL,RTOHR29,,Expired,March
135, Maruti Swift VXI .,180000,3.4,hyderabad,66803,2006,Second ,Petrol,MANUAL,RTOAP11,,Expired,March
136, Hyundai NEW SANTRO . MAGNA AMT,450000,4.1,hyderabad,5482,2019,Second ,Petrol,,RTOTS08,,Expired,June
137, Hyundai Grand i SPORTS . VTVT,450000,4.4,hyderabad,42261,2015,First ,Petrol,MANUAL,RTOTS07,30/10/2021,Third_party,February
138, Maruti Wagon R LXI,180000,3.9,hyderabad,28739,2007,First ,Petrol,MANUAL,RTOAP09,,Expired,May
139, Hyundai Santro Xing GLS LPG,218500,4.2,hyderabad,18552,2011,First ,Petrol + LPG,MANUAL,RTOAP29,,Expired,November
140, Hyundai i MAGNA . IRDE,205000,3.8,hyderabad,72315,2008,First ,Petrol,MANUAL,RTOAP09,,Expired,January
141, Chevrolet Spark PS .,110000,4.2,hyderabad,50293,2008,Third ,Petrol,MANUAL,RTOAP09,,Expired,March
142, Hyundai Verna FLUIDIC . SX CRDI OPT,460000,3.7,hyderabad,52535,2014,Second ,Diesel,MANUAL,RTOAP10,,Expired,February
143, Maruti Swift VXI,70000,3.7,hyderabad,66671,2006,Fourth ,Petrol,MANUAL,RTOUP16,24/2/2021,Comprehensive,August
144, Datsun Go Plus T,320000,4.6,hyderabad,18976,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,March
145, Hyundai i MAGNA . IRDE,200000,4,hyderabad,49819,2008,First ,Petrol,MANUAL,RTOTS07,21/5/2021,Comprehensive,March
146, Honda Jazz . E MT ,400000,4.6,hyderabad,19467,2016,First ,Petrol,MANUAL,RTOKA05,12/6/2021,ZeroDepreciation,May
147, Hyundai Verna VGT CRDI .,175000,3.5,hyderabad,94028,2007,Second ,Diesel,MANUAL,RTOAP28,,Expired,January
148, Maruti Wagon R . VXI,370621,4.2,hyderabad,1,2016,First ,Petrol,MANUAL,RTOTS09,,Expired,December
149, Hyundai i SPORTZ . KAPPA,279000,4.4,hyderabad,29260,2011,First ,Petrol,MANUAL,RTOKA03,,Expired,April
150, Renault Pulse RXL ABS D,370000,4.5,hyderabad,15735,2015,Second ,Diesel,MANUAL,RTOTS10,19/7/2021,Comprehensive,July
151, Maruti  AC,65000,3.8,hyderabad,80634,2006,Second ,Petrol,MANUAL,RTOAP28,,Expired,October
152, Maruti Alto K VXI ,195000,3.9,hyderabad,30971,2012,Third ,Petrol,MANUAL,RTOAP29,,Expired,November
153, Renault Kwid RXT,280000,4.5,hyderabad,23792,2016,First ,Petrol,MANUAL,RTODL8C,4/9/2021,ZeroDepreciation,June
154, Maruti Alto LXI,180000,4.2,hyderabad,37766,2011,First ,Petrol,MANUAL,RTOAP29,22/1/2021,Third_party,July
155, Renault Kwid RXT . EASY-R  AT,350000,4.5,hyderabad,29655,2016,First ,Petrol,,RTOTS09,,Expired,November
156, Honda Amaze . SMT I VTEC,658260,4.8,hyderabad,12826,2019,First ,Petrol,MANUAL,RTOTS07,30/11/2020,Expired,June
157, Maruti IGNIS DELTA . K AMT,515000,4.7,hyderabad,14758,2018,First ,Petrol,AUTOMATIC,RTOTS07,28/8/2021,Comprehensive,August
158, Maruti Swift VDI,220000,3.2,hyderabad,45803,2007,Second ,Diesel,MANUAL,RTOAP09,,Expired,January
159, Hyundai NEW SANTRO SPORTZ .,520000,4.7,hyderabad,2543,2019,First ,Petrol,,RTOTS08,26/8/2021,ZeroDepreciation,April
160, Maruti Alto  LXI,240000,4.5,hyderabad,12952,2014,First ,Petrol,MANUAL,RTOTS11,,Expired,January
161, Maruti Swift Dzire VXI . BS IV,550000,4.6,hyderabad,11150,2015,First ,Petrol,MANUAL,RTOTS10,6/1/2022,ZeroDepreciation,November
162, Maruti Swift LDI,200000,3.5,hyderabad,85182,2007,Fourth ,Diesel,MANUAL,RTOKA01,,Expired,August
