,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
20610, Mahindra Thar CRDE X BS IV,700000,4.2,mumbai,50462,2017,First ,Diesel,MANUAL,RTOMH04,,Expired,January
20611, Toyota Innova . V  STR,750000,4.3,mumbai,83738,2011,Second ,Diesel,MANUAL,RTOMH03,10/12/2020,Third_party,June
20612, Fiat Linea DYNAMIC . L ADVANCED MULTIJET,575000,4.3,mumbai,41107,2016,First ,Diesel,MANUAL,RTOMH47,7/6/2021,ZeroDepreciation,May
20613, Mahindra Scorpio VLX WD AIRBAG BS IV,515000,3.9,mumbai,87836,2014,Second ,Diesel,MANUAL,RTOMH05,30/10/2020,Third_party,July
20614, Honda City SV CVT PETROL,709000,4,mumbai,38388,2016,Second ,Petrol,AUTOMATIC,RTOMH04,1/3/2021,Third_party,August
20615, Tata Indica Vista TERRA QUADRAJET BS IV,115000,3.4,mumbai,98000,2010,Second ,Diesel,MANUAL,RTOMH03,,Expired,October
20616, Honda City V MT PETROL,382500,4.1,mumbai,65780,2012,Second ,Petrol,MANUAL,RTOMH43,29/7/2021,Third_party,May
20617, Maruti Alto LXI,60000,3.9,mumbai,42980,2006,First ,Petrol,MANUAL,RTOMH41,,Expired,January
20618, Volkswagen Polo HIGHLINE.L DIESEL,325000,4.1,mumbai,89089,2013,First ,Diesel,MANUAL,RTOMH04,31/10/2020,Comprehensive,August
20619, Skoda Rapid . TDI MT AMBITION,579500,4.5,mumbai,23594,2016,Second ,Diesel,MANUAL,RTOMH04,18/3/2021,Comprehensive,March
20620, Maruti Zen Estilo VXI,200000,3.9,mumbai,90004,2010,Second ,Petrol,MANUAL,RTOMH13,,Expired,July
20621, Chevrolet Enjoy . LS  STR,300000,4.1,mumbai,41906,2013,First ,Petrol,MANUAL,RTOMH02,23/7/2021,Comprehensive,April
20622, Maruti Dzire VXI,700000,4.8,mumbai,25346,2019,First ,Petrol,MANUAL,RTOMH01,26/1/2022,Third_party,January
20623, Datsun Redi Go . T(O),388000,4.8,mumbai,13191,2018,First ,Petrol,,RTOMH01,,Expired,September
20624, Maruti Baleno ZETA . K ,525000,4.6,mumbai,44150,2016,First ,Petrol,MANUAL,RTOMH46,30/8/2021,Comprehensive,August
20625, Hyundai Verna FLUIDIC . SX VTVT OPT,400000,4,mumbai,54737,2012,Second ,Petrol,MANUAL,RTOMH04,3/10/2020,Comprehensive,August
20626, Honda City ZX GXI,80000,3.5,mumbai,98863,2006,Second ,Petrol,MANUAL,RTOMH04,8/4/2021,Comprehensive,October
20627, Maruti Baleno ZETA . K ,750000,4.9,mumbai,5666,2019,First ,Petrol,MANUAL,RTOMH05,21/10/2022,Third_party,July
20628, BMW  Series D LUXURY LINE,3217000,4.6,mumbai,26655,2016,First ,Diesel,AUTOMATIC,RTOJH05,,Expired,August
20629, Hyundai Xcent BASE . CRDI,430000,4.4,mumbai,31349,2016,Second ,Diesel,MANUAL,RTOMH46,6/9/2021,Comprehensive,August
20630, Toyota Innova Crysta . GX  STR,1643464,4.4,mumbai,34552,2018,First ,Diesel,MANUAL,RTOMH05,25/12/2020,ZeroDepreciation,October
20631, Mahindra TUV T,520000,3.8,mumbai,78627,2016,First ,Diesel,MANUAL,RTOMH04,,Expired,January
20632, Hyundai Elantra SX AT,1080000,4.9,mumbai,22956,2016,First ,Petrol,AUTOMATIC,RTOMH47,,Expired,September
20633, Hyundai Creta . VTVT SX AUTO,1488500,4.9,mumbai,7600,2019,First ,Petrol,AUTOMATIC,RTOMH01,,Expired,May
20634, Honda Jazz . S I VTEC,475000,4.6,mumbai,24536,2017,First ,Petrol,MANUAL,RTOMH03,25/3/2021,Comprehensive,February
20635, Tata Tiago XZ . REVOTRON,475000,4.8,mumbai,22933,2018,First ,Petrol,MANUAL,RTOMH46,25/5/2021,ZeroDepreciation,May
20636, Toyota Innova Crysta . VX  STR,2100000,4.7,mumbai,20103,2018,First ,Diesel,MANUAL,RTOMH48,5/3/2021,Comprehensive,February
20637, Maruti Eeco  STR CNG WITH AC PLUSHTR,397000,4,mumbai,49304,2016,Second ,Petrol + CNG,MANUAL,RTOMH01,,Expired,August
20638, Hyundai Verna TRANSFORM . CRDI,196000,3.8,mumbai,87548,2010,First ,Diesel,MANUAL,RTOMH43,1/12/2020,Comprehensive,October
20639, Nissan Sunny XL DIESEL,350000,4.2,mumbai,55511,2013,First ,Diesel,MANUAL,RTOMH01,3/4/2021,Comprehensive,January
20640, Maruti Ciaz ZXI AT,585000,4.7,mumbai,46479,2015,First ,Petrol,,RTOMH02,13/6/2021,ZeroDepreciation,February
20641, Maruti Baleno ALPHA DDIS  ,750000,4.7,mumbai,34810,2018,First ,Diesel,MANUAL,RTOMH48,25/11/2020,ZeroDepreciation,September
20642, Skoda Fabia AMBITION PLUS . TDI,200000,3.8,mumbai,80325,2011,First ,Diesel,MANUAL,RTOMH02,,Not Available,August
20643, Hyundai Elite i SPORTZ .,480000,4.7,mumbai,51912,2016,Second ,Petrol,MANUAL,RTOMH04,7/3/2021,Comprehensive,April
20644, Maruti Ertiga ZXI PLUS,665000,4.5,mumbai,50003,2016,First ,Petrol,MANUAL,RTOMH03,9/8/2021,ZeroDepreciation,July
20645, Renault Kwid CLIMBER . AT,309000,4.3,mumbai,63650,2017,First ,Petrol,,RTOMH04,21/7/2021,Comprehensive,March
20646, Maruti Swift ZXI .,129000,1,mumbai,94040,2005,Third ,Petrol + CNG,MANUAL,RTOMH02,16/8/2021,Third_party,December
20647, Hyundai i SPORTZ . KAPPA,222000,3.9,mumbai,98047,2012,Second ,Petrol + CNG,MANUAL,RTOMH43,28/3/2021,Comprehensive,February
20648, Volkswagen Vento HIGHLINE DIESEL,280000,4.1,mumbai,89396,2012,First ,Diesel,MANUAL,RTOMH43,15/2/2021,Comprehensive,December
20649, Hyundai Getz Prime GLE .,80000,3.8,mumbai,78558,2007,Third ,Petrol,MANUAL,RTOMH01,23/5/2021,Comprehensive,June
20650, Mahindra Xylo E ABS BS IV,214135,3.7,mumbai,118821,2011,First ,Diesel,MANUAL,RTOMH43,,Expired,January
20651, Skoda Laura AMBIENTE . TSI,210000,4.3,mumbai,66863,2009,First ,Petrol,MANUAL,RTOMH04,3/12/2020,Comprehensive,April
20652, Honda City VX MT DIESEL,680000,4.2,mumbai,48392,2014,First ,Diesel,MANUAL,RTOMH46,,Expired,September
20653, Maruti Zen LXI,28000,3,mumbai,55970,2002,Fourth ,Petrol,MANUAL,RTOMH02,,Expired,January
20654, Maruti Zen Estilo LXI,235000,4.4,mumbai,38589,2010,First ,Petrol,MANUAL,RTOKA03,19/12/2020,Comprehensive,November
20655, Skoda Rapid . TDI MT ELEGANCE,600000,4.3,mumbai,25649,2015,First ,Diesel,MANUAL,RTOMH02,12/8/2021,ZeroDepreciation,June
20656, Maruti Swift Dzire VDI ABS,595000,4.4,mumbai,62591,2016,First ,Diesel,,RTOMH01,24/8/2021,Comprehensive,August
20657, Maruti Swift Dzire VDI BS IV,468880,4.3,mumbai,69885,2012,First ,Diesel,MANUAL,RTOMH02,11/10/2021,Comprehensive,October
20658, Honda City ZX CVT ,1260000,4.9,mumbai,14430,2018,First ,Petrol,AUTOMATIC,RTOMH03,25/9/2021,ZeroDepreciation,August
20659, Mahindra Kuv K+  STR,450000,4.4,mumbai,36626,2016,First ,Petrol,MANUAL,RTOMH47,29/7/2021,Comprehensive,June
20660, Jeep Compass LIMITED O . AT,1800000,4.9,mumbai,15642,2018,First ,Petrol,AUTOMATIC,RTOMH01,29/8/2021,ZeroDepreciation,August
20661, Ford Ecosport .TITANIUM TDCI,700000,4.7,mumbai,45172,2017,First ,Diesel,MANUAL,RTOTN02,19/9/2021,Comprehensive,July
20662, Toyota Fortuner . x AT,2701000,4.4,mumbai,23705,2018,First ,Diesel,AUTOMATIC,RTOMH01,4/3/2021,Comprehensive,January
20663, Tata Sumo VICTA EX,100000,3.4,mumbai,261048,2006,First ,Diesel,MANUAL,RTOMH04,15/2/2021,Third_party,December
20664, Hyundai Verna . SX VTVT AT (O),1080000,4.7,mumbai,19434,2019,First ,Petrol,AUTOMATIC,RTOMH05,,Expired,March
20665, Hyundai New Elantra SX . AT,500000,4.1,mumbai,56205,2014,Second ,Petrol,AUTOMATIC,RTOMH48,15/2/2021,Comprehensive,December
20666, Volkswagen Vento HIGHLINE DIESEL,225000,3.3,mumbai,85199,2011,Third ,Diesel,MANUAL,RTOMH03,,Expired,August
20667, Ford Fiesta . EXI ,150000,4.2,mumbai,49021,2007,First ,Petrol,MANUAL,RTOMH03,2/6/2021,Comprehensive,December
20668, Maruti Ciaz VXI PLUS,497836,4.3,mumbai,51694,2016,First ,Petrol,MANUAL,RTOMH06,7/5/2021,Comprehensive,March
20669, Maruti Vitara Brezza VDI AMT,850000,4.5,mumbai,31288,2018,First ,Diesel,,RTOMH04,25/11/2020,ZeroDepreciation,November
20670, Volkswagen Passat HIGHLINE DSG,209546,4,mumbai,66999,2007,First ,Diesel,AUTOMATIC,RTOMH01,27/1/2021,Comprehensive,August
20671, Maruti Zen Estilo VXI,125000,3.6,mumbai,59181,2007,Second ,Petrol,MANUAL,RTOMH05,,Expired,January
20672, Hyundai Grand i MAGNA . CRDI,300000,4.1,mumbai,78028,2014,First ,Diesel,MANUAL,RTOMH01,15/6/2021,Comprehensive,May
20673, Honda City ZX . EXI,110000,4.3,mumbai,98805,2006,Second ,Petrol,,RTOMH04,,Expired,July
20674, Honda Amaze . EMT I DTEC,300000,4,mumbai,85243,2013,First ,Diesel,MANUAL,RTOMH04,23/8/2021,Third_party,May
20675, Maruti Wagon R . LXI CNG,408968,4.2,mumbai,34824,2015,First ,Petrol + CNG,MANUAL,RTOMH01,,Expired,August
20676, Ford Ecosport .TITANIUM TDCI,560000,4.6,mumbai,47687,2013,First ,Diesel,MANUAL,RTOMH43,24/11/2020,Comprehensive,November
20677, Ford Ecosport TREND + . TI VCT AT,850000,4.9,mumbai,4382,2018,First ,Petrol,,RTOMH02,18/2/2021,ZeroDepreciation,August
20678, Chevrolet Cruze LTZ AT,280000,3.9,mumbai,55718,2010,First ,Diesel,AUTOMATIC,RTOMH04,,Expired,August
20679, Honda City ZX GXI,85000,3.4,mumbai,104575,2007,First ,Petrol,MANUAL,RTOMH04,,Expired,June
20680, MG HECTOR SHARP HYBIRD PETROL MT,1600000,5,mumbai,14469,2019,First ,Petrol,,RTOMH03,31/7/2022,Third_party,July
20681, Hyundai Accent EXECUTIVE GLE,90000,3.9,mumbai,30046,2009,Second ,Petrol,MANUAL,RTOMH01,,Expired,May
20682, Hyundai i MAGNA . VTVT,269730,4.1,mumbai,49004,2011,First ,Petrol,MANUAL,RTOMH01,29/3/2021,Third_party,November
20683, Honda City SV MT PETROL,511000,4,mumbai,46616,2015,Second ,Petrol,MANUAL,RTOMH02,20/6/2021,Third_party,April
20684, Hyundai Verna FLUIDIC . SX CRDI,475000,4.1,mumbai,48940,2012,Second ,Diesel,MANUAL,RTOMH04,,Expired,April
20685, Mahindra XUV W,553000,4.1,mumbai,47206,2014,First ,Diesel,MANUAL,RTOMH06,,Expired,September
20686, BMW  Series L I,440000,4.2,mumbai,40259,2006,First ,Petrol,AUTOMATIC,RTODL2F,16/10/2020,Comprehensive,August
20687, Maruti Eeco  STR,235000,3.4,mumbai,43425,2011,First ,Petrol + CNG,MANUAL,RTOMH03,17/12/2020,Comprehensive,November
20688, Hyundai Verna FLUIDIC . SX CRDI OPT,421007,3.9,mumbai,100760,2014,Third ,Diesel,MANUAL,RTOMH01,8/8/2021,Third_party,January
20689, Hyundai Santro Xing XL ERLX EURO III,80750,3.3,mumbai,55370,2007,Third ,Petrol,MANUAL,RTOMH05,28/12/2020,Comprehensive,June
20690, Maruti XL ZETA SHVS,1150000,4.9,mumbai,11113,2019,First ,Petrol,,RTOMH43,21/10/2022,ZeroDepreciation,September
20691, Maruti Wagon R LXI,95000,3.5,mumbai,68187,2007,Second ,Petrol + CNG,MANUAL,RTOMH02,,Expired,February
20692, Tata Indica Vista AURA . SAFIRE,85000,3.8,mumbai,63651,2009,First ,Petrol,MANUAL,RTOMH03,8/10/2021,Comprehensive,September
20693, Hyundai Elite i SPORTZ .,675000,4.7,mumbai,18874,2016,First ,Petrol,MANUAL,RTOMH04,,Expired,April
20694, Honda Amaze . SX MT I DTEC,350000,4.2,mumbai,55404,2015,First ,Diesel,MANUAL,RTODL3C,20/8/2021,Comprehensive,August
20695, Honda City . E MT PETROL,350000,4.2,mumbai,70010,2013,First ,Petrol + CNG,,RTOMH04,19/11/2020,Third_party,January
20696, Maruti Swift Dzire VXI .,212898,4.4,mumbai,65836,2009,First ,Petrol,MANUAL,RTOMH04,29/1/2021,Comprehensive,January
20697, Maruti S Cross ZETA SHVS,975000,4.9,mumbai,18146,2019,First ,Diesel,MANUAL,RTOMH47,30/4/2022,ZeroDepreciation,February
20698, Maruti Wagon R LX,99000,4,mumbai,30090,2006,First ,Petrol,MANUAL,RTOMH04,31/3/2021,Comprehensive,January
20699, Skoda Rapid ELEGANCE . TDI MT,352000,3.9,mumbai,63356,2013,First ,Diesel,MANUAL,RTOMH04,,Expired,March
20700, Honda City V AT SUNROOF,460000,4.2,mumbai,66863,2012,Second ,Petrol,AUTOMATIC,RTOMH02,14/10/2021,Third_party,May
20701, Hyundai i ERA,120000,4.2,mumbai,43505,2008,Second ,Petrol,MANUAL,RTOMH05,11/8/2021,Third_party,May
20702, Maruti Ertiga VXI CNG,635000,4.6,mumbai,60096,2016,First ,Petrol + CNG,MANUAL,RTOMH48,,Expired,August
20703, Tata Aria PRIDE LEATER X,500000,4.3,mumbai,16037,2014,Second ,Diesel,MANUAL,RTOMH01,11/8/2021,Third_party,July
20704, Hyundai i MAGNA . IRDE,220000,4.1,mumbai,58170,2012,Second ,Petrol,MANUAL,RTOMH03,29/6/2021,Comprehensive,September
20705, Volkswagen Vento HIGHLINE PETROL,466000,4.9,mumbai,54630,2015,Third ,Petrol,MANUAL,RTOMH34,29/8/2021,Comprehensive,January
20706, Opel Corsa . GLS,24000,1,mumbai,78851,2001,Second ,Petrol,MANUAL,RTOGJ06,,Expired,May
20707, Mahindra Scorpio S,735000,4,mumbai,42948,2015,First ,Diesel,MANUAL,RTOMH02,5/1/2021,Third_party,June
20708, Hyundai i ASTA . O WITH SUNROOF,305000,4.3,mumbai,58833,2010,Second ,Petrol,MANUAL,RTOMH46,31/12/2020,Comprehensive,November
20709, Maruti Ciaz ZXI PLUS AMT,700000,4.4,mumbai,36390,2017,First ,Petrol,AUTOMATIC,RTOMH01,25/3/2021,ZeroDepreciation,January
20710, Hyundai Creta . E PLUS CRDI,1200000,4.6,mumbai,6273,2019,First ,Diesel,,RTOMH43,8/6/2022,Third_party,May
20711, Mahindra Xylo E ABS BS III,250000,3.8,mumbai,105023,2010,Second ,Diesel,MANUAL,RTOMH04,3/4/2021,Comprehensive,January
20712, Chevrolet Tavera NEO LT L  STR BS III,135000,3.6,mumbai,119313,2007,First ,Diesel,MANUAL,RTODN09,28/6/2021,Third_party,May
20713, Honda City S MT PETROL,255000,3.7,mumbai,70840,2009,Second ,Petrol + CNG,MANUAL,RTOMH02,17/12/2020,Comprehensive,September
20714, Renault Lodgy  PS RXL,410000,4.1,mumbai,74108,2016,First ,Diesel,MANUAL,RTOMH03,22/10/2021,ZeroDepreciation,April
20715, Maruti Ertiga VXI  LIMITED EDITION,701289,4.9,mumbai,27112,2018,First ,Petrol,MANUAL,RTOMH03,27/3/2021,ZeroDepreciation,March
20716, Honda City S MT PETROL,200000,4.1,mumbai,103164,2009,Second ,Petrol,MANUAL,RTOMH42,28/9/2021,Third_party,February
20717, Mahindra Xylo D BS III,255000,3.7,mumbai,65026,2010,First ,Diesel,MANUAL,RTOMH06,21/9/2021,Comprehensive,April
20718, Renault Duster RXL PS EXPLORE,705000,4.4,mumbai,43400,2016,Second ,Diesel,,RTOMH43,20/2/2021,ZeroDepreciation,January
20719, Chevrolet Optra LT ROYALE .,45000,1,mumbai,65447,2005,Second ,Petrol,MANUAL,RTOMH02,,Expired,October
20720, Maruti Vitara Brezza ZDI,975000,4.9,mumbai,4538,2018,First ,Diesel,MANUAL,RTOMH48,8/12/2020,ZeroDepreciation,October
20721, Ford Ecosport . TITANIUM PLUS TI VCT AT,1100000,4.9,mumbai,9933,2019,First ,Petrol,,RTOMH04,7/3/2021,ZeroDepreciation,January
20722, Ford FREESTYLE TITANIUM . TI-VCT MT,490000,4.7,mumbai,26251,2018,First ,Petrol,,RTOMH04,26/8/2021,ZeroDepreciation,July
20723, Honda Accord . VTI L AT,275000,3.7,mumbai,57442,2006,First ,Petrol,AUTOMATIC,RTOMH01,,Expired,August
20724, Volkswagen Vento HIGHLINE PETROL AT,401000,3.8,mumbai,68210,2013,First ,Petrol,AUTOMATIC,RTOMH01,24/8/2021,Comprehensive,July
20725, Maruti Ertiga VXI CNG,506000,4.1,mumbai,81733,2014,Second ,Petrol + CNG,MANUAL,RTOMH02,,Expired,June
20726, Hyundai i MAGNA . KAPPA,195000,3.7,mumbai,94311,2011,Second ,Petrol + CNG,MANUAL,RTOMH02,28/1/2021,Third_party,March
20727, Maruti Ciaz ZXI RS ,565000,4.5,mumbai,61714,2016,First ,Petrol,MANUAL,RTOMH11,24/2/2021,ZeroDepreciation,February
20728, Honda BR-V . i-VTEC V CVT,900000,4.2,mumbai,13584,2016,First ,Petrol,AUTOMATIC,RTOMH01,7/8/2021,Comprehensive,July
20729, Honda City VX CVT PETROL,1291000,4.9,mumbai,14723,2019,First ,Petrol,AUTOMATIC,RTOMH03,14/3/2022,Third_party,January
20730, Mahindra Bolero ZLX,448000,3.8,mumbai,84020,2013,Second ,Diesel,MANUAL,RTOMH04,8/10/2021,Third_party,April
20731, Volkswagen Polo COMFORTLINE .L DIESEL,320000,4,mumbai,75180,2015,First ,Diesel,MANUAL,RTOMH46,24/9/2020,Comprehensive,August
20732, Hyundai i MAGNA O .,260000,4.1,mumbai,103095,2013,First ,Petrol + CNG,MANUAL,RTOMH46,9/12/2020,Third_party,February
20733, Tata Indica Vista AURA . QUADRAJET,155000,3.7,mumbai,73310,2009,First ,Diesel,MANUAL,RTOMH02,,Expired,May
20734, Maruti XL ZETA AT SHVS ,1150000,5,mumbai,11013,2019,First ,Petrol,,RTOMH47,1/10/2020,Comprehensive,September
20735, Jaguar XF . DIESEL,2100000,4.8,mumbai,28000,2015,First ,Diesel,AUTOMATIC,RTOMH02,10/2/2021,Comprehensive,January
20736, Honda City . EXI,100000,3.8,mumbai,91620,2005,First ,Petrol,MANUAL,RTOMH02,,Expired,July
20737, Toyota Innova Crysta . ZX AT  STR,1950000,4.8,mumbai,27073,2018,First ,Diesel,AUTOMATIC,RTOMH02,26/3/2021,Third_party,March
20738, Maruti Dzire VDI,754000,4.5,mumbai,27594,2017,First ,Diesel,MANUAL,RTOMH05,6/3/2021,ZeroDepreciation,November
20739, Hyundai Verna FLUIDIC . EX CRDI,569000,4.4,mumbai,38955,2014,First ,Diesel,MANUAL,RTOMH04,9/9/2021,Comprehensive,April
20740, Maruti Swift VDI,190000,3.6,mumbai,122108,2008,Second ,Diesel,MANUAL,RTOMH04,26/10/2021,Third_party,March
20741, Chevrolet Spark LT .,130000,4.1,mumbai,30046,2008,Second ,Petrol,MANUAL,RTOMH03,15/1/2021,Third_party,October
20742, Maruti Swift VXI,530000,4.4,mumbai,36556,2017,First ,Petrol,MANUAL,RTOMH04,4/1/2021,ZeroDepreciation,November
20743, Hyundai Tucson New WD AT GLS DIESEL,1500000,4.7,mumbai,32927,2016,First ,Diesel,AUTOMATIC,RTOJH10,23/11/2020,ZeroDepreciation,October
20744, Hyundai i ASTA . AT WITH SUNROOF,260000,4.1,mumbai,54978,2010,Second ,Petrol,AUTOMATIC,RTOMH01,,Expired,October
20745, Maruti Swift VXI,185000,3.9,mumbai,82970,2006,First ,Petrol,MANUAL,RTOTN07,30/8/2021,Comprehensive,January
20746, Renault Duster  PS RXL,450000,4.3,mumbai,87260,2013,First ,Diesel,MANUAL,RTOMH04,29/10/2021,Comprehensive,July
20747, Hyundai Santro Xing GL,90000,4,mumbai,71073,2009,First ,Petrol,MANUAL,RTOHR51,23/4/2021,Third_party,October
20748, Hyundai Elite i SPORTZ .,740000,4.9,mumbai,10499,2017,First ,Petrol,MANUAL,RTOMH06,19/8/2021,Comprehensive,July
20749, Honda City V MT PETROL,275000,3.6,mumbai,86568,2010,Second ,Petrol,MANUAL,RTOMH12,3/6/2021,Third_party,March
20750, Hyundai Verna . SX VTVT AT (O),1065601,4.5,mumbai,33191,2018,First ,Petrol,AUTOMATIC,RTOMH02,14/3/2021,Comprehensive,January
20751, Fiat Palio Stile SPORT .,111000,3.8,mumbai,32546,2009,First ,Petrol,MANUAL,RTOMH02,,Expired,March
20752, Nissan Sunny XE,324000,4.5,mumbai,45425,2014,First ,Petrol,MANUAL,RTOMH03,12/1/2021,Third_party,April
20753, Datsun Go Plus T,400000,4.3,mumbai,32384,2015,First ,Petrol,MANUAL,RTOMH03,1/4/2021,Comprehensive,February
20754, Volvo V Cross Country D,1600000,4.5,mumbai,25472,2016,Second ,Diesel,AUTOMATIC,RTOMH14,29/9/2021,Comprehensive,January
20755, Maruti Swift Dzire LXI . BS IV,330000,3.8,mumbai,69370,2013,Second ,Petrol + CNG,MANUAL,RTOMH01,,Expired,September
20756, Chevrolet Aveo .,60000,3.6,mumbai,107552,2006,First ,Petrol,AUTOMATIC,RTOUA08,,Expired,September
20757, Jeep Compass . LIMITED PLUS AT,1869600,4.9,mumbai,14401,2018,First ,Petrol,,RTOMH02,29/10/2021,Third_party,October
20758, Hyundai Creta . S PLUS,800000,4.2,mumbai,33921,2015,First ,Diesel,MANUAL,RTOMH03,7/6/2021,Comprehensive,July
20759, Maruti Baleno 	DELTA . K AT,546000,4.5,mumbai,63452,2016,First ,Petrol,,RTOMH01,28/8/2021,Comprehensive,August
20760, Hyundai i MAGNA . VTVT,189000,3.7,mumbai,102975,2010,Third ,Petrol + CNG,MANUAL,RTOMH02,14/6/2021,Third_party,March
20761, Honda City SV MT PETROL,580000,4.3,mumbai,50152,2016,First ,Petrol,MANUAL,RTOMH47,25/5/2021,Comprehensive,April
20762, Toyota Innova Crysta . ZX AT  STR,2006000,4.4,mumbai,13425,2016,First ,Petrol,AUTOMATIC,RTOMH04,28/6/2021,ZeroDepreciation,November
20763, Maruti Baleno DELTA . K ,450000,4.5,mumbai,74464,2016,First ,Petrol + CNG,MANUAL,RTOHR13,7/10/2020,ZeroDepreciation,September
20764, Hyundai i MAGNA . VTVT,250000,4.2,mumbai,54679,2010,First ,Petrol,MANUAL,RTOMH31,13/10/2020,Comprehensive,October
20765, Maruti Ertiga VXI CNG,820000,4.6,mumbai,17287,2017,First ,Petrol + CNG,MANUAL,RTOMH01,5/2/2021,ZeroDepreciation,December
20766, Hyundai Verna . SX VTVT AT (O),1210000,4.9,mumbai,18074,2019,First ,Petrol,AUTOMATIC,RTOMH47,7/5/2021,ZeroDepreciation,March
20767, Ford Ecosport . TITANIUM PLUS TI VCT AT,942580,4.9,mumbai,15399,2018,First ,Petrol,,RTOMH15,20/9/2021,Third_party,July
20768, Maruti Baleno ZETA . K AMT ,600000,4.6,mumbai,61861,2017,First ,Petrol,AUTOMATIC,RTOMH04,27/2/2021,ZeroDepreciation,January
20769, Maruti Celerio VXI CNG,325000,4.3,mumbai,90693,2015,First ,Petrol + CNG,MANUAL,RTOMH03,22/1/2021,Comprehensive,January
20770, Hyundai Verna XI,130000,3.9,mumbai,62232,2006,Second ,Petrol,MANUAL,RTOMH02,,Expired,October
20771, Honda City V CVT,1060000,4.9,mumbai,15423,2018,First ,Petrol,,RTOMH47,,Expired,May
20772, Honda City V AT,300000,4,mumbai,77893,2010,Second ,Petrol,AUTOMATIC,RTOMH02,17/2/2021,Comprehensive,January
20773, Hyundai Elite i ASTA .,418047,4.2,mumbai,72643,2014,First ,Petrol,MANUAL,RTOMH01,4/12/2020,Comprehensive,November
20774, Maruti Wagon R . LXI CNG,240000,4.3,mumbai,90821,2012,First ,Petrol + CNG,MANUAL,RTOMH05,,Expired,October
20775, Maruti SX VXI,90000,3.5,mumbai,94993,2007,First ,Petrol,MANUAL,RTOMH02,19/12/2020,Comprehensive,August
20776, Honda WR-V . i-DTEC S MT Alive Edition,738000,4.5,mumbai,30639,2018,First ,Diesel,,RTOMP09,28/10/2020,Comprehensive,January
20777, Maruti Ertiga VDI SHVS,763000,3.4,mumbai,96045,2017,First ,Diesel,MANUAL,RTOMH04,,Expired,September
20778, Honda Accord . AT I VTEC,252402,3.9,mumbai,79596,2009,First ,Petrol,AUTOMATIC,RTOMH02,,Expired,August
20779, Hyundai Creta . SX PLUS AUTO PETROL,1399000,4.5,mumbai,11460,2018,First ,Petrol,AUTOMATIC,RTOMH02,16/9/2021,ZeroDepreciation,April
20780, Honda City ZX GXI,190000,4.5,mumbai,74417,2008,First ,Petrol,MANUAL,RTOMH04,2/4/2021,Comprehensive,January
20781, Hyundai Verna FLUIDIC . SX VTVT,587000,4,mumbai,33897,2013,First ,Petrol,MANUAL,RTOMH01,10/6/2021,Comprehensive,February
20782, Hyundai Elite i ASTA . (O),650000,4.6,mumbai,42507,2017,First ,Petrol,MANUAL,RTOMH02,,Expired,April
20783, Tata NEXON XMA .,800000,4.8,mumbai,32001,2019,First ,Petrol,,RTOMH04,8/4/2021,ZeroDepreciation,March
20784, Tata MAGIC 	HT  STR,200000,2.9,mumbai,51438,2012,First ,Diesel,,RTOMH48,,Expired,September
20785, Maruti Ertiga VDI SHVS,812250,4.6,mumbai,41320,2016,First ,Diesel,MANUAL,RTOMH46,2/4/2021,ZeroDepreciation,March
20786, Maruti Wagon R . LXI CNG,300000,4.2,mumbai,72092,2015,First ,Petrol + CNG,MANUAL,RTOMH05,1/12/2020,ZeroDepreciation,November
20787, Maruti Vitara Brezza ZDI,743059,4.7,mumbai,47863,2017,First ,Diesel,MANUAL,RTOMH03,21/2/2021,ZeroDepreciation,February
20788, Ssangyong Rexton RX,650000,4.1,mumbai,34908,2013,Second ,Diesel,MANUAL,RTOMH01,18/10/2021,Third_party,May
20789, Honda City ZX MT PETROL,1300000,4.9,mumbai,17025,2019,First ,Petrol,,RTOMH04,6/3/2022,Third_party,January
20790, Volkswagen Vento HIGHLINE DIESEL,300000,4,mumbai,95787,2012,Second ,Diesel,MANUAL,RTOGJ12,28/4/2021,Comprehensive,February
20791, Maruti Ertiga VXI,575000,4.2,mumbai,69435,2015,First ,Petrol + CNG,MANUAL,RTOMH01,24/7/2021,ZeroDepreciation,May
20792, Audi A  TFSI S LINE,2800000,4.4,mumbai,15771,2019,First ,Petrol,,RTOMH04,3/4/2021,ZeroDepreciation,January
20793, Honda City S MT PETROL,324000,4.2,mumbai,81000,2012,Second ,Petrol,MANUAL,RTOMH01,25/3/2021,Comprehensive,February
20794, Chevrolet Captiva XTREME,285388,3.7,mumbai,102868,2011,First ,Diesel,MANUAL,RTOMH46,,Expired,July
20795, Honda Jazz . V AT,750000,4.4,mumbai,25933,2016,First ,Petrol,AUTOMATIC,RTOMH01,7/9/2021,Comprehensive,August
20796, Maruti Ertiga VXI,375000,3.9,mumbai,84297,2012,Third ,Petrol,MANUAL,RTOMH02,,Expired,June
20797, Hyundai Creta . SX (O) VTVT,1100000,4.9,mumbai,17561,2018,First ,Petrol,,RTOMH02,23/7/2021,Comprehensive,July
20798, Hyundai Grand i MAGNA . VTVT,450000,4.5,mumbai,75291,2016,Second ,Petrol + CNG,MANUAL,RTOMH05,3/6/2021,Third_party,February
